Year,Month,Period,Expected_Gen_MW,Gen_Std,Hours
2030,4,peak,21.737317680825594,20.42408939124316,650
2030,5,offpeak,25.090152503621397,22.648160307220934,1015
2030,5,peak,24.08893313112017,20.93146006367956,891
2030,6,offpeak,25.42371933239502,23.161928888018355,996
2030,6,peak,22.275301026884097,21.13655027048935,865
2030,7,offpeak,23.794755101909043,21.463120770982762,1048
2030,7,peak,15.773971697160937,16.925870709688336,845
2030,8,offpeak,22.06070154129248,20.49785639392353,1021
2030,8,peak,18.21183186207621,17.90943762580799,910
2030,9,offpeak,19.295862995881098,19.252771164541016,871
2030,9,peak,21.833195293496427,20.886688432271395,769
2030,10,offpeak,24.647129241604222,20.498729533936235,871
2030,10,peak,24.139014759321572,22.003923278157348,893
2030,11,offpeak,25.39240205048317,22.12810547696597,897
2030,11,peak,26.07992273178671,24.489323622755382,762
2030,12,offpeak,26.950505415610145,25.88510838915434,964
2030,12,peak,26.639768283737915,25.67462305899437,834
